medication_name,drug_class,local_source_reference,source_status,known_fields_count,pending_fields_count,not_registered_fields_count,source_mapped_fields_count,pending_fields,not_registered_fields,disease_use_rows,decision_matrix_status,decision_matrix_source_tabs,audit_result
Agomelatina,Atipico antidepressivo,"EMA. Valdoxan — Summary of Product Characteristics; bula profissional aprovada pela Anvisa.; STAHL-MEC; GG.; EMA, Valdoxan SmPC; Stahl, Essential Psychopharmacology, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Amitriptilina,Triciclico,"DailyMed, Amitriptyline Hydrochloride Tablets; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",source_reference_mapped_pending_formal_review,7,3,2,12,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,8,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Aripiprazol,Antipsicotico atipico,"FDA/Abilify Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretriz CANMAT para transtorno depressivo maior.",source_reference_mapped_pending_formal_review,6,3,3,12,dominant_effect | receptor_or_mechanism | cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,7,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Bupropiona,NDRI,"FDA/Wellbutrin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Bupropiona XL,NDRI,"FDA/Wellbutrin XL Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Carbamazepina,Estabilizador de humor,"FDA/Tegretol Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Citalopram,SSRI/serotonergico,"FDA/Celexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clomipramina,Triciclico,"FDA/Anafranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; diretrizes APA/NICE para TOC.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clorpromazina,Antipsicotico tipico,"DailyMed, Chlorpromazine Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,weight_gain_risk,4,draft_from_source_audit,Tabela 3,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Clozapina,Antipsicotico atipico,"FDA/Clozaril Prescribing Information; Maudsley Prescribing Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,extrapyramidal_risk,3,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Desipramina,Triciclico,"FDA/Norpramin Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Desvenlafaxina,SNRI,"FDA/Pristiq Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Divalproato,Anticonvulsivante/estabilizador,"FDA/Depakote Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Dosulepina,Triciclico,"UK SmPC, Dosulepin Hydrochloride; British National Formulary; NICE Depression Guideline; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 1,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Doxepina,Triciclico,"FDA/Silenor Prescribing Information; DailyMed, Doxepin Hydrochloride Capsules; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Duloxetina,SNRI,"FDA/Cymbalta Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,8,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Escitalopram,SSRI,"FDA/Lexapro Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,9,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Fenitoina,Anticonvulsivante/estabilizador,"FDA/Dilantin Prescribing Information; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,3,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Fenobarbital,Anticonvulsivante/estabilizador,"DailyMed, Phenobarbital; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,3,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Fluoxetina,SSRI,"FDA/Prozac Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,12,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Fluvoxamina,SSRI/serotonergico,"DailyMed, Fluvoxamine Maleate; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE OCD Guidelines.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,6,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Haloperidol,Antipsicotico tipico,"FDA/Haldol Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,2,1,12,dose_band | cognition_score,weight_gain_risk,4,draft_from_source_audit,Tabela 3,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Imipramina,Triciclico,"FDA/Tofranil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Lamotrigina,Estabilizador de humor,"FDA/Lamictal Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,6,3,3,12,dominant_effect | receptor_or_mechanism | cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Levomepromazina,Antipsicotico tipico,"bula profissional Anvisa, Levomepromazina; European/UK SmPC; Stahl, 5ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,weight_gain_risk,3,draft_from_source_audit,Tabela 3,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Litio,Estabilizador de humor,"DailyMed, Lithium Carbonate; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Lurasidona,Antipsicotico atipico,"FDA/Latuda Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,6,3,3,12,dominant_effect | receptor_or_mechanism | cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 5|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Maprotilina,Triciclico,"Maprotiline/Ludiomil Product Information; Goodman & Gilman, 14ª ed.; Stahl, 5ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,2,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Mianserina,Tetraciclico,"Mianserin Summary of Product Characteristics; British National Formulary; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,7,3,2,12,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Mirtazapina,NaSSA,"FDA/Remeron Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley Prescribing Guidelines.",source_reference_mapped_pending_formal_review,8,3,1,12,dominant_effect | receptor_or_mechanism | cognition_score,extrapyramidal_risk,7,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Naltrexona,Dependencia quimica,"FDA/Revia Prescribing Information; APA Guideline for Alcohol Use Disorder; NICE Alcohol-use Disorders Guideline; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,3,draft_from_source_audit,Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Nortriptilina,Triciclico,"FDA/Pamelor Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,3,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Olanzapina,Antipsicotico atipico,"FDA/Zyprexa Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; CANMAT/ISBD.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,extrapyramidal_risk,7,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Oxcarbazepina,Anticonvulsivante/estabilizador,"FDA/Trileptal Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 7,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Paroxetina,SSRI/serotonergico,"FDA/Paxil Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,10,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Quetiapina,Antipsicotico atipico,"FDA/Seroquel e Seroquel XR Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; estudos PET de ocupação H1 e D2 pela quetiapina.; FDA/Seroquel PI; Stahl, 5ª ed.; estudos PET H1/D2.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,extrapyramidal_risk,10,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Risperidona,Antipsicotico atipico,"FDA/Risperdal Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; Maudsley.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,sedation_risk,6,draft_from_source_audit,Tabela 5,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Sertralina,SSRI,"FDA/Zoloft Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; APA/NICE Guidelines.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,10,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Tioridazina,Antipsicotico tipico,"FDA/Mellaril Prescribing Information; bula profissional Anvisa; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,10,1,1,12,cognition_score,weight_gain_risk,2,draft_from_source_audit,Tabela 3,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Topiramato,Anticonvulsivante/estabilizador,"FDA/Topamax Prescribing Information; CANMAT/ISBD Bipolar Guidelines; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,7,3,2,12,dominant_effect | receptor_or_mechanism | cognition_score,weight_gain_risk | extrapyramidal_risk,7,draft_from_source_audit,Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Trazodona,SARI,"DailyMed, Trazodone Hydrochloride; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; revisão farmacológica sobre trazodona em baixa e alta dose.; FDA/DailyMed Trazodone; Stahl, 5ª ed.; revisão farmacológica de trazodona.",source_reference_mapped_pending_formal_review,9,1,2,12,cognition_score,weight_gain_risk | extrapyramidal_risk,5,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Valproato,Estabilizador de humor,"DailyMed, Valproic Acid; CANMAT/ISBD Bipolar Guidelines; Maudsley; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,7,draft_from_source_audit,Tabela 7|Tabela 8,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Venlafaxina,SNRI,"FDA/Effexor Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; estudos PET de ocupação SERT/NET por venlafaxina.; FDA/Effexor PI; Stahl, 5ª ed.; estudos PET SERT/NET.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,9,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Venlafaxina XR,SNRI,"FDA/Effexor XR Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.; estudos PET SERT/NET.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,9,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Vilazodona,SSRI/serotonergico,"FDA/Viibryd Prescribing Information; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,3,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
Vortioxetina,SSRI/serotonergico,"FDA/Trintellix Prescribing Information; EMA/Brintellix SmPC; Stahl, 5ª ed.; Goodman & Gilman, 14ª ed.",source_reference_mapped_pending_formal_review,8,1,3,12,cognition_score,sedation_risk | weight_gain_risk | extrapyramidal_risk,4,draft_from_source_audit,Tabela 1|Tabela 2,MAPEADO_MAS_PENDENTE_REVISAO_FORMAL
