medication_name,drug_class,motor2_rows,missing_condition_ranges,missing_dose_effect_bands,missing_dominant_effects,missing_mechanisms,disease_use_rows,official_indications_available,official_dosage_available,official_mechanism_available,official_source_url,evidence_acquisition_status,next_action,runtime_eligible
Acamprosato,Dependencia quimica,2,2,2,2,2,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Agomelatina,Atipico antidepressivo,18,6,18,18,18,2,true,true,true,https://www.ema.europa.eu/en/medicines/human/EPAR/valdoxan,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Alprazolam,Benzodiazepinico,4,4,0,4,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Amissulprida,Antipsicotico D2/D3,2,2,0,2,0,2,false,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Amitriptilina,Triciclico,48,15,0,48,48,8,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Aripiprazol,Antipsicotico atipico,21,21,0,0,0,7,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Asenapina,Antipsicotico atipico,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5429f134-839f-4ffc-9944-55f51238def8,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Atomoxetina,Nao estimulante TDAH,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=309de576-c318-404a-bc15-660c2b1876fb,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Brexpiprazol,Antipsicotico atipico parcial D2/5HT1A,3,3,0,3,0,3,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d301358-6291-4ec1-bd87-37b4ad9bd850,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Bromazepam,Benzodiazepinico,4,2,0,0,0,4,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Buprenorfina,Agonista parcial opioide,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Bupropiona,NDRI,45,0,0,0,0,6,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Bupropiona XL,NDRI,45,0,0,0,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Buspirona,Ansiolitico nao benzodiazepinico,4,4,0,4,0,4,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f101c5f3-d533-474d-a8bf-90d054933d16,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Carbamazepina,Estabilizador de humor,12,12,0,0,0,6,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Cariprazina,Antipsicotico atipico parcial D3/D2,4,4,0,4,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b5f7c65-aa2d-452a-b3db-bc85c06ff12f,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Citalopram,SSRI/serotonergico,51,0,0,0,0,6,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clobazam,Benzodiazepinico anticonvulsivante,2,2,0,2,0,2,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6783eaa8-e236-4957-aaa9-b42bf8e709a7,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clomipramina,Triciclico,42,0,0,0,0,5,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clonazepam,Benzodiazepinico,5,3,0,5,0,5,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clonidina,Agonista alfa-2 TDAH/autonomico,3,3,0,3,0,3,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32d72d7b-5881-f431-e063-6394a90a3547,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clorpromazina,Antipsicotico tipico,12,12,0,0,0,4,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Clozapina,Antipsicotico atipico,15,15,0,0,0,3,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Desipramina,Triciclico,6,6,0,0,0,2,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Desvenlafaxina,SNRI,34,0,0,0,0,5,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Diazepam,Benzodiazepinico,5,4,0,5,0,6,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f466f8a3-f31c-44f4-b0e8-444464f20f66,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Dissulfiram,Dependencia quimica,2,2,0,2,0,2,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d3832a1a-a140-49c1-a7df-134fa81341e3,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Divalproato,Anticonvulsivante/estabilizador,6,3,0,0,0,6,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ef6c5fd-42b2-4419-9b5a-e6d63571e3a0,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Donepezila,Inibidor acetilcolinesterase,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=98e451e1-e4d7-4439-a675-c5457ba20975,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Dosulepina,Triciclico,27,3,27,27,27,2,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Doxepina,Triciclico,48,8,0,0,0,5,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c42333f8-1add-4f33-9458-6fe4436874a1,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Droperidol,Antipsicotico de urgencia/antiemetico,3,3,0,3,0,3,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=147e033d-d997-4ef6-8bb5-a9ba372590b2,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Duloxetina,SNRI,54,3,0,0,0,8,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569582d5-cb6d-735e-e063-6394a90abfb6,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Escitalopram,SSRI,54,3,0,0,0,9,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2ec266-be5b-9265-e063-6294a90a10e3,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Eszopiclona,Hipnotico Z,1,1,0,1,0,1,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c4ff1d6a-918e-c046-e053-2a95a90a9c9b,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Fenitoina,Anticonvulsivante/estabilizador,3,3,0,0,0,3,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e467c02-49a0-4b62-b537-430fdfa4f10e,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Fenobarbital,Anticonvulsivante/estabilizador,3,3,0,0,0,3,true,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Fluoxetina,SSRI,42,3,0,0,0,12,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77b6ae48-8e3a-42e6-9b5a-aeed750861e8,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Fluvoxamina,SSRI/serotonergico,33,0,0,0,0,6,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Galantamina,Inibidor acetilcolinesterase,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=18fd8860-d9ab-1b17-e063-6294a90aad9a,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Guanfacina XR,Agonista alfa-2A TDAH,1,1,0,1,0,1,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35d3c996-1755-c017-e063-6294a90abc1f,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Haloperidol,Antipsicotico tipico,12,12,4,0,0,4,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e2eed126-cb82-42b1-9b48-9cbeb6873b50,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Imipramina,Triciclico,30,0,0,0,0,4,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=51d3b181-0d15-4782-a966-feb137972b18,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Lamotrigina,Estabilizador de humor,15,15,0,0,15,5,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55f41c7e-03a6-b84c-e063-6294a90a7d82,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Levomepromazina,Antipsicotico tipico,9,9,9,9,9,3,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Lisdexanfetamina,Estimulante TDAH,3,3,0,3,0,3,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c56b4712-2fb8-4c7a-bfbd-0401d9f5f92a,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Litio,Estabilizador de humor,10,10,0,0,0,5,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=049902a9-3af1-4863-994e-15f36e7a9793,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Lorazepam,Benzodiazepinico,5,5,0,5,0,5,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=569e8a5a-ddf7-ebbc-e063-6294a90ab7a4,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Lurasidona,Antipsicotico atipico,8,8,0,0,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b3e9cc86-0c5c-444f-ab57-f4d1a6865035,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Maprotilina,Triciclico,52,0,52,52,52,2,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Memantina,Antagonista NMDA,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=becb09dc-174d-4817-88d4-f38c8adcd309,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Metadona,Agonista opioide,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13541167-95f4-4cb9-9d7d-3c1aced5c5f6,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Metilfenidato IR,Estimulante TDAH,3,3,0,3,0,3,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=defc1205-8e90-4b1e-b862-05e4c35c7364,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Metilfenidato LP,Estimulante TDAH,1,0,0,0,0,1,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=defc1205-8e90-4b1e-b862-05e4c35c7364,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Mianserina,Tetraciclico,30,6,30,30,30,4,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
Midazolam,Benzodiazepinico de urgencia/sedacao,3,3,0,3,3,3,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=54ed43b2-bad1-4b45-e063-6294a90a793a,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Mirtazapina,NaSSA,60,16,0,0,0,7,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2a0689ae-5650-42d1-ac9d-56dd2b467727,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Naloxona,Antagonista opioide emergencia,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Naltrexona,Dependencia quimica,9,6,0,0,0,3,true,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=56055980-d23b-ec7d-e063-6394a90a9cc2,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Nortriptilina,Triciclico,36,3,0,0,0,3,true,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aee2c1a1-d848-4c3b-8c6d-8a4f6ce94c28,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Olanzapina,Antipsicotico atipico,21,21,0,0,0,7,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0ecbf540-572e-4ca4-b694-18ca1cd1c194,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Oxazepam,Benzodiazepinico,3,2,0,3,0,4,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0d5a4c1-ec79-42e6-8e8f-ae4d144edb43,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Oxcarbazepina,Anticonvulsivante/estabilizador,16,16,0,0,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=867eaf99-3e31-4f75-bfae-2898804d956d,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Paliperidona,Antipsicotico atipico,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=71985eb4-07df-41c9-8b9a-85f39e92b7d0,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Paroxetina,SSRI/serotonergico,36,3,0,0,0,10,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=118320de-0632-4139-8b13-7428b41da0ac,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Prometazina,Antihistaminico sedativo,3,3,0,3,0,3,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3983d6d3-8bf4-4a88-962f-9bf72fd6e685,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Quetiapina,Antipsicotico atipico,30,18,0,0,0,10,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643d339-50ea-405d-e063-6394a90a3b70,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Risperidona,Antipsicotico atipico,24,24,0,0,0,6,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5643c32b-310e-4888-e063-6394a90ab62f,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Rivastigmina,Inibidor acetilcolinesterase,2,2,0,2,0,2,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=52781229-ee82-43f9-a113-4419a611978d,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Sertralina,SSRI,28,2,0,0,0,10,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4ddfd698-3d47-fc0e-e063-6394a90accec,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Sulpirida,Antipsicotico D2/D3,2,2,0,2,0,2,false,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=50a8c251-35ab-41f5-b7b7-3a4dd2222906,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Temazepam,Benzodiazepinico hipnotico,1,1,0,1,0,1,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=bc56f7fd-1aaf-48ff-8aa7-d467e59e1015,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Tioridazina,Antipsicotico tipico,6,6,0,0,0,2,true,false,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1fd16a99-e856-4a37-9dae-c443714fac14,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Topiramato,Anticonvulsivante/estabilizador,21,21,0,21,21,7,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46a305cb-ab73-0bca-e063-6294a90a9b85,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Trazodona,SARI,44,8,0,0,0,5,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc5f266-6c0e-4b9a-b6e0-ea694928b948,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Valproato,Estabilizador de humor,7,7,0,0,0,7,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b619f73-44e5-4a99-b425-a96cb2228c87,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Venlafaxina,SNRI,54,6,0,0,0,9,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Venlafaxina XR,SNRI,72,8,0,0,0,9,true,true,false,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=38fd2c97-cd30-2f7d-e054-00144ff8d46c,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Vilazodona,SSRI/serotonergico,44,4,0,0,0,3,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c55ccfb-c4cf-11df-851a-0800200c9a66,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Vortioxetina,SSRI/serotonergico,55,5,0,0,0,4,true,true,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb1e9df4-dd74-4073-9d78-bb55593dd000,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Ziprasidona,Antipsicotico atipico,3,3,0,3,0,3,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b1f52226-4fb4-48bf-8bfd-0c9df6ca02fa,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Zolpidem,Hipnotico Z,3,3,0,3,0,3,true,false,true,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9025a6f7-5501-4aba-875e-222ef39848c0,official_claims_extracted_pending_editorial_normalization,normalize_claims_then_scientific_and_editorial_review,false
Zopiclona,Hipnotico Z,1,1,1,1,1,1,false,false,false,,alternate_official_source_required,locate_ema_anvisa_or_other_official_source,false
