medication_name,official_query,source_system,source_status,setid,title,published_date,spl_version,label_url,service_url,query_url,source_use,review_status,notes
Acamprosato,acamprosate,DailyMed/FDA,official_label_located_pending_formal_review,f2bf6742-4b85-45e2-8daa-0f9bfc75a128,"ACAMPROSATE CALCIUM (ACAMPROSATE CALCIUM ENTERIC-COATED) TABLET, DELAYED RELEASE [NCS HEALTHCARE OF KY, LLC DBA VANGARD LABS]","Jun 15, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f2bf6742-4b85-45e2-8daa-0f9bfc75a128,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f2bf6742-4b85-45e2-8daa-0f9bfc75a128.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=acamprosate&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Agomelatina,agomelatine,DailyMed/FDA,not_found,,,,,,,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=agomelatine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",official_source_not_found_in_dailymed,
Alprazolam,alprazolam,DailyMed/FDA,official_label_located_pending_formal_review,fc5fe795-6b41-aecf-e053-6394a90af562,ALPRAZOLAM TABLET [ST. MARY'S MEDICAL PARK PHARMACY],"Jun 23, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc5fe795-6b41-aecf-e053-6394a90af562,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/fc5fe795-6b41-aecf-e053-6394a90af562.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=alprazolam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Amissulprida,amisulpride,DailyMed/FDA,official_label_located_context_mismatch_review_required,ab23bc6e-b6a8-165f-e053-2a95a90ab144,"BARHEMSYS (AMISULPRIDE) INJECTION, SOLUTION [ACACIA PHARMA LTD]","Jun 23, 2026",8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab23bc6e-b6a8-165f-e053-2a95a90ab144,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/ab23bc6e-b6a8-165f-e053-2a95a90ab144.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=amisulpride&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_context_mismatch_no_clinical_claim_extracted,
Amitriptilina,amitriptyline,DailyMed/FDA,official_label_located_pending_formal_review,35aa7ab3-321a-97f7-e063-6294a90a91e2,"AMITRIPTYLINE HYDROCHLORIDE TABLET, COATED [ST. MARY'S MEDICAL PARK PHARMACY]","Jul 01, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=35aa7ab3-321a-97f7-e063-6294a90a91e2,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/35aa7ab3-321a-97f7-e063-6294a90a91e2.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=amitriptyline&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Aripiprazol,aripiprazole,DailyMed/FDA,official_label_located_pending_formal_review,042b725c-1c17-4cfb-80b2-c841226d795e,ARIPIPRAZOLE (ARIPIPRAZOLE ORAL) SOLUTION [ATLANTIC BIOLOGICALS CORP.],"Jul 13, 2026",2,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=042b725c-1c17-4cfb-80b2-c841226d795e,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/042b725c-1c17-4cfb-80b2-c841226d795e.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=aripiprazole&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Asenapina,asenapine,DailyMed/FDA,official_label_located_pending_formal_review,5429f134-839f-4ffc-9944-55f51238def8,"SAPHRIS (ASENAPINE MALEATE) TABLET [ALLERGAN, INC.]","Dec 12, 2025",22,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5429f134-839f-4ffc-9944-55f51238def8,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/5429f134-839f-4ffc-9944-55f51238def8.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=asenapine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Atomoxetina,atomoxetine,DailyMed/FDA,official_label_located_pending_formal_review,309de576-c318-404a-bc15-660c2b1876fb,STRATTERA (ATOMOXETINE HYDROCHLORIDE) CAPSULE [ELI LILLY AND COMPANY],"Jul 15, 2026",68,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=309de576-c318-404a-bc15-660c2b1876fb,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/309de576-c318-404a-bc15-660c2b1876fb.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=atomoxetine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Brexpiprazol,brexpiprazole,DailyMed/FDA,official_label_located_pending_formal_review,2d301358-6291-4ec1-bd87-37b4ad9bd850,"REXULTI (BREXPIPRAZOLE) TABLET REXULTI (BREXPIPRAZOLE) KIT [OTSUKA AMERICA PHARMACEUTICAL, INC.]","May 28, 2026",26,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d301358-6291-4ec1-bd87-37b4ad9bd850,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2d301358-6291-4ec1-bd87-37b4ad9bd850.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=brexpiprazole&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Bromazepam,bromazepam,DailyMed/FDA,not_found,,,,,,,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=bromazepam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",official_source_not_found_in_dailymed,
Buprenorfina,buprenorphine,DailyMed/FDA,official_label_located_pending_formal_review,2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7,"BUPRENORPHINE AND NALOXONE TABLET [ASCEND LABORATORIES, LLC]","Jul 06, 2026",19,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2e807ed0-6df3-47b5-b7ee-b421c5bf0aa7.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=buprenorphine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Bupropiona,bupropion,DailyMed/FDA,official_label_located_pending_formal_review,3ec04240-baef-44d7-8d73-a181171eec43,"BUPROPION HYDROBROMIDE TABLET, EXTENDED RELEASE [OCEANSIDE PHARMACEUTICALS]","Jul 13, 2026",3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/3ec04240-baef-44d7-8d73-a181171eec43.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=bupropion&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Bupropiona XL,bupropion,DailyMed/FDA,official_label_located_pending_formal_review,3ec04240-baef-44d7-8d73-a181171eec43,"BUPROPION HYDROBROMIDE TABLET, EXTENDED RELEASE [OCEANSIDE PHARMACEUTICALS]","Jul 13, 2026",3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ec04240-baef-44d7-8d73-a181171eec43,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/3ec04240-baef-44d7-8d73-a181171eec43.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=bupropion&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Buspirona,buspirone,DailyMed/FDA,official_label_located_pending_formal_review,f101c5f3-d533-474d-a8bf-90d054933d16,"BUCAPSOL (BUSPIRONE HYDROCHLORIDE) CAPSULE [PANGEA PHARMACEUTICALS, LLC]","Jul 15, 2026",6,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f101c5f3-d533-474d-a8bf-90d054933d16,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f101c5f3-d533-474d-a8bf-90d054933d16.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=buspirone&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Carbamazepina,carbamazepine,DailyMed/FDA,official_label_located_pending_formal_review,8d409411-aa9f-4f3a-a52c-fbcb0c3ec053,"TEGRETOL (CARBAMAZEPINE) SUSPENSION TEGRETOL (CARBAMAZEPINE) TABLET TEGRETOL XR (CARBAMAZEPINE) TABLET, EXTENDED RELEASE [NOVARTIS PHARMACEUTICALS CORPORATION]","Jul 13, 2026",37,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d409411-aa9f-4f3a-a52c-fbcb0c3ec053,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/8d409411-aa9f-4f3a-a52c-fbcb0c3ec053.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=carbamazepine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Cariprazina,cariprazine,DailyMed/FDA,official_label_located_pending_formal_review,4b5f7c65-aa2d-452a-b3db-bc85c06ff12f,"VRAYLAR (CARIPRAZINE) CAPSULE, GELATIN COATED VRAYLAR (CARIPRAZINE) KIT [ALLERGAN, INC.]","Dec 31, 2025",30,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4b5f7c65-aa2d-452a-b3db-bc85c06ff12f,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/4b5f7c65-aa2d-452a-b3db-bc85c06ff12f.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=cariprazine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Citalopram,citalopram,DailyMed/FDA,official_label_located_pending_formal_review,a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1,"CITALOPRAM TABLET, FILM COATED [NORTHWIND HEALTH COMPANY, LLC]","Jul 06, 2026",6,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/a7ef6ad2-5f22-4ac7-b57a-f498bcb53be1.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=citalopram&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clobazam,clobazam,DailyMed/FDA,official_label_located_pending_formal_review,6783eaa8-e236-4957-aaa9-b42bf8e709a7,CLOBAZAM TABLET [AMNEAL PHARMACEUTICALS NY LLC],"Jul 01, 2026",10,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6783eaa8-e236-4957-aaa9-b42bf8e709a7,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/6783eaa8-e236-4957-aaa9-b42bf8e709a7.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clobazam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clomipramina,clomipramine,DailyMed/FDA,official_label_located_pending_formal_review,2b1bcbd9-88be-4d46-8301-10daa805dc0e,"CALMERA (CLOMIPRAMINE HYDROCHLORIDE) TABLET [ASPEN VETERINARY RESOURCES, LTD.]","Mar 11, 2026",3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2b1bcbd9-88be-4d46-8301-10daa805dc0e,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/2b1bcbd9-88be-4d46-8301-10daa805dc0e.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clomipramine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clonazepam,clonazepam,DailyMed/FDA,official_label_located_pending_formal_review,30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,CLONAZEPAM TABLET [ADVAGEN PHARMA LTD],"Jun 26, 2026",4,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/30d674f9-f1b3-4c2d-a8e9-3bc8e476f1ec.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clonazepam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clonidina,clonidine,DailyMed/FDA,official_label_located_pending_formal_review,32d72d7b-5881-f431-e063-6394a90a3547,CLONIDINE HYDROCHLORIDE TABLET [ST. MARY'S MEDICAL PARK PHARMACY],"Jun 29, 2026",3,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=32d72d7b-5881-f431-e063-6394a90a3547,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/32d72d7b-5881-f431-e063-6394a90a3547.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clonidine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clorpromazina,chlorpromazine,DailyMed/FDA,official_label_located_pending_formal_review,aa086a21-de85-4b03-af58-49b70acf8cf0,"CHLORPROMAZINE HYDROCHLORIDE TABLET, FILM COATED [AMNEAL PHARMACEUTICALS NY LLC]","Jun 30, 2026",9,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa086a21-de85-4b03-af58-49b70acf8cf0,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/aa086a21-de85-4b03-af58-49b70acf8cf0.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=chlorpromazine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Clozapina,clozapine,DailyMed/FDA,official_label_located_pending_formal_review,883b5d43-0339-7dc1-f775-93791fb9b978,CLOZAPINE TABLET [MYLAN PHARMACEUTICALS INC.],"May 15, 2026",35,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=883b5d43-0339-7dc1-f775-93791fb9b978,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/883b5d43-0339-7dc1-f775-93791fb9b978.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=clozapine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Desipramina,desipramine,DailyMed/FDA,official_label_located_pending_formal_review,a3b4b25d-0ddb-4531-badb-f1ba3168ac07,"DESIPRAMINE HYDROCHLORIDE (DESIPRAMINE) TABLET, FILM COATED [AMNEAL PHARMACEUTICALS NY LLC]","May 11, 2026",13,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a3b4b25d-0ddb-4531-badb-f1ba3168ac07,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/a3b4b25d-0ddb-4531-badb-f1ba3168ac07.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=desipramine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Desvenlafaxina,desvenlafaxine,DailyMed/FDA,official_label_located_pending_formal_review,0f43610c-f290-46ea-d186-4f998ed99fce,"PRISTIQ EXTENDED-RELEASE (DESVENLAFAXINE SUCCINATE) TABLET, EXTENDED RELEASE [WYETH PHARMACEUTICALS LLC, A SUBSIDIARY OF PFIZER INC.]","Apr 27, 2026",67,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f43610c-f290-46ea-d186-4f998ed99fce,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/0f43610c-f290-46ea-d186-4f998ed99fce.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=desvenlafaxine&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Diazepam,diazepam,DailyMed/FDA,official_label_located_pending_formal_review,f466f8a3-f31c-44f4-b0e8-444464f20f66,"DIAZEPAM INJECTION DIAZEPAM INJECTION, SOLUTION [HIKMA PHARMACEUTICALS USA INC.]","Jul 10, 2026",5,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f466f8a3-f31c-44f4-b0e8-444464f20f66,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/f466f8a3-f31c-44f4-b0e8-444464f20f66.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=diazepam&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
Dissulfiram,disulfiram,DailyMed/FDA,official_label_located_pending_formal_review,d3832a1a-a140-49c1-a7df-134fa81341e3,"DISULFIRAM TABLET [GOLDEN STATE MEDICAL SUPPLY, INC.]","Jun 01, 2026",11,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d3832a1a-a140-49c1-a7df-134fa81341e3,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls/d3832a1a-a140-49c1-a7df-134fa81341e3.xml,https://dailymed.nlm.nih.gov/dailymed/services/v2/spls.json?drug_name=disulfiram&label_type=human%2Frxonly&pagesize=20,"official regulatory locator for later dose, safety, contraindication, warning, and adverse reaction extraction",source_locator_only_no_clinical_claim_extracted,
